Device_ID,date,has_cyber,op_label_top,max_op_score,risk_mean,cvss,epss,dvd,rec_action
D001,2025-01-01,0,normal,1.0,0.42600000000000005,7.7,0.17,0.55,MONITOR
D001,2025-02-01,0,normal,1.0,0.42600000000000005,7.7,0.17,0.55,MONITOR
D001,2025-03-01,0,normal,1.0,0.42600000000000005,7.7,0.17,0.55,MONITOR
D002,2025-01-01,1,normal,1.0,0.22100000000000003,4.4,0.01,0.42,MONITOR
D002,2025-02-01,0,normal,1.0,0.22100000000000003,4.4,0.01,0.42,MONITOR
D002,2025-03-01,1,normal,1.0,0.22100000000000003,4.4,0.01,0.42,MONITOR
D003,2025-01-01,1,normal,1.0,0.625,8.6,0.67,0.16,MONITOR
D003,2025-02-01,1,normal,1.0,0.625,8.6,0.67,0.16,MONITOR
D003,2025-03-01,1,normal,1.0,0.625,8.6,0.67,0.16,MONITOR
D004,2025-01-01,0,normal,1.0,0.611,7.0,0.57,0.58,MONITOR
D004,2025-02-01,1,normal,1.0,0.611,7.0,0.57,0.58,MONITOR
D004,2025-03-01,0,normal,1.0,0.611,7.0,0.57,0.58,MONITOR
D005,2025-01-01,1,normal,1.0,0.42100000000000004,0.9,0.6,0.47,MONITOR
D005,2025-02-01,1,normal,1.0,0.42100000000000004,0.9,0.6,0.47,MONITOR
D005,2025-03-01,1,normal,1.0,0.42100000000000004,0.9,0.6,0.47,MONITOR
D006,2025-01-01,1,normal,1.0,0.7100000000000001,9.8,0.66,0.43,MONITOR
D006,2025-02-01,1,normal,1.0,0.7100000000000001,9.8,0.66,0.43,MONITOR
D006,2025-03-01,1,normal,1.0,0.7100000000000001,9.8,0.66,0.43,MONITOR
D007,2025-01-01,1,normal,1.0,0.47700000000000004,7.6,0.39,0.27,MONITOR
D007,2025-02-01,0,normal,1.0,0.47700000000000004,7.6,0.39,0.27,MONITOR
D007,2025-03-01,0,normal,1.0,0.47700000000000004,7.6,0.39,0.27,MONITOR
D008,2025-01-01,0,normal,1.0,0.509,7.9,0.48,0.16,MONITOR
D008,2025-02-01,0,normal,1.0,0.509,7.9,0.48,0.16,MONITOR
D008,2025-03-01,1,normal,0.9905332244502919,0.509,7.9,0.48,0.16,MONITOR
D009,2025-01-01,0,normal,1.0,0.111,1.3,0.12,0.06,MONITOR
D009,2025-02-01,0,normal,1.0,0.111,1.3,0.12,0.06,MONITOR
D009,2025-03-01,1,normal,1.0,0.111,1.3,0.12,0.06,MONITOR
D010,2025-01-01,0,normal,1.0,0.29300000000000004,4.5,0.1,0.54,MONITOR
D010,2025-02-01,0,normal,1.0,0.29300000000000004,4.5,0.1,0.54,MONITOR
D010,2025-03-01,0,normal,0.97207417115674,0.29300000000000004,4.5,0.1,0.54,MONITOR
D011,2025-01-01,1,normal,0.9874751204747567,0.44999999999999996,3.7,0.57,0.27,MONITOR
D011,2025-02-01,0,normal,1.0,0.44999999999999996,3.7,0.57,0.27,MONITOR
D011,2025-03-01,0,normal,1.0,0.44999999999999996,3.7,0.57,0.27,MONITOR
D012,2025-01-01,1,normal,1.0,0.503,9.3,0.4,0.12,MONITOR
D012,2025-02-01,1,normal,1.0,0.503,9.3,0.4,0.12,MONITOR
D012,2025-03-01,1,normal,1.0,0.503,9.3,0.4,0.12,MONITOR
D013,2025-01-01,1,normal,1.0,0.46799999999999997,6.4,0.48,0.18,MONITOR
D013,2025-02-01,0,normal,1.0,0.46799999999999997,6.4,0.48,0.18,MONITOR
D013,2025-03-01,1,normal,1.0,0.46799999999999997,6.4,0.48,0.18,MONITOR
D014,2025-01-01,1,normal,1.0,0.6409999999999999,8.2,0.65,0.35,MONITOR
D014,2025-02-01,1,normal,1.0,0.6409999999999999,8.2,0.65,0.35,MONITOR
D014,2025-03-01,1,normal,1.0,0.6409999999999999,8.2,0.65,0.35,MONITOR
D015,2025-01-01,1,normal,1.0,0.42400000000000004,4.4,0.54,0.11,MONITOR
D015,2025-02-01,1,normal,1.0,0.42400000000000004,4.4,0.54,0.11,MONITOR
D015,2025-03-01,0,normal,1.0,0.42400000000000004,4.4,0.54,0.11,MONITOR
D016,2025-01-01,1,normal,1.0,0.653,7.1,0.84,0.1,MONITOR
D016,2025-02-01,1,normal,1.0,0.653,7.1,0.84,0.1,MONITOR
D016,2025-03-01,1,normal,1.0,0.653,7.1,0.84,0.1,MONITOR
D017,2025-01-01,0,normal,1.0,0.39999999999999997,3.2,0.52,0.22,MONITOR
D017,2025-02-01,1,normal,1.0,0.39999999999999997,3.2,0.52,0.22,MONITOR
D017,2025-03-01,0,normal,1.0,0.39999999999999997,3.2,0.52,0.22,MONITOR
D018,2025-01-01,0,normal,1.0,0.21200000000000002,2.0,0.12,0.46,MONITOR
D018,2025-02-01,0,normal,1.0,0.21200000000000002,2.0,0.12,0.46,MONITOR
D018,2025-03-01,0,normal,1.0,0.21200000000000002,2.0,0.12,0.46,MONITOR
D019,2025-01-01,1,normal,1.0,0.47700000000000004,1.9,0.64,0.5,MONITOR
D019,2025-02-01,1,normal,1.0,0.47700000000000004,1.9,0.64,0.5,MONITOR
D019,2025-03-01,1,normal,1.0,0.47700000000000004,1.9,0.64,0.5,MONITOR
D020,2025-01-01,1,normal,0.0,0.43899999999999995,3.3,0.6,0.2,MONITOR
D020,2025-02-01,1,normal,1.0,0.43899999999999995,3.3,0.6,0.2,MONITOR
D020,2025-03-01,1,normal,1.0,0.43899999999999995,3.3,0.6,0.2,MONITOR
D021,2025-01-01,0,normal,1.0,0.188,0.7,0.31,0.06,MONITOR
D021,2025-02-01,1,normal,1.0,0.188,0.7,0.31,0.06,MONITOR
D021,2025-03-01,0,normal,1.0,0.188,0.7,0.31,0.06,MONITOR
D022,2025-01-01,1,normal,1.0,0.38499999999999995,8.7,0.02,0.57,MONITOR
D022,2025-02-01,0,normal,1.0,0.38499999999999995,8.7,0.02,0.57,MONITOR
D022,2025-03-01,1,normal,1.0,0.38499999999999995,8.7,0.02,0.57,MONITOR
D023,2025-01-01,1,normal,1.0,0.43899999999999995,8.7,0.22,0.34,MONITOR
D023,2025-02-01,1,normal,1.0,0.43899999999999995,8.7,0.22,0.34,MONITOR
D023,2025-03-01,1,normal,1.0,0.43899999999999995,8.7,0.22,0.34,MONITOR
D024,2025-01-01,1,normal,1.0,0.45799999999999996,4.5,0.61,0.09,MONITOR
D024,2025-02-01,1,normal,1.0,0.45799999999999996,4.5,0.61,0.09,MONITOR
D024,2025-03-01,1,normal,1.0,0.45799999999999996,4.5,0.61,0.09,MONITOR
D025,2025-01-01,0,normal,1.0,0.245,0.1,0.32,0.41,MONITOR
D025,2025-02-01,0,normal,0.0,0.245,0.1,0.32,0.41,MONITOR
D025,2025-03-01,0,normal,1.0,0.245,0.1,0.32,0.41,MONITOR
D026,2025-01-01,1,normal,1.0,0.453,6.7,0.36,0.36,MONITOR
D026,2025-02-01,0,normal,1.0,0.453,6.7,0.36,0.36,MONITOR
D026,2025-03-01,0,normal,1.0,0.453,6.7,0.36,0.36,MONITOR
D027,2025-01-01,1,normal,1.0,0.32800000000000007,2.1,0.45,0.2,MONITOR
D027,2025-02-01,0,normal,1.0,0.32800000000000007,2.1,0.45,0.2,MONITOR
D027,2025-03-01,0,normal,1.0,0.32800000000000007,2.1,0.45,0.2,MONITOR
D028,2025-01-01,1,normal,1.0,0.574,6.8,0.52,0.55,MONITOR
D028,2025-02-01,0,normal,1.0,0.574,6.8,0.52,0.55,MONITOR
D028,2025-03-01,0,normal,1.0,0.574,6.8,0.52,0.55,MONITOR
D029,2025-01-01,0,normal,1.0,0.43599999999999994,5.1,0.35,0.54,MONITOR
D029,2025-02-01,0,normal,1.0,0.43599999999999994,5.1,0.35,0.54,MONITOR
D029,2025-03-01,1,normal,1.0,0.43599999999999994,5.1,0.35,0.54,MONITOR
D030,2025-01-01,0,normal,1.0,0.30900000000000005,0.9,0.34,0.56,MONITOR
D030,2025-02-01,0,normal,1.0,0.30900000000000005,0.9,0.34,0.56,MONITOR
D030,2025-03-01,0,normal,1.0,0.30900000000000005,0.9,0.34,0.56,MONITOR
D031,2025-01-01,1,normal,1.0,0.521,2.9,0.8,0.17,MONITOR
D031,2025-02-01,0,normal,1.0,0.521,2.9,0.8,0.17,MONITOR
D031,2025-03-01,1,normal,1.0,0.521,2.9,0.8,0.17,MONITOR
D032,2025-01-01,1,normal,1.0,0.566,5.1,0.61,0.54,MONITOR
D032,2025-02-01,1,normal,1.0,0.566,5.1,0.61,0.54,MONITOR
D032,2025-03-01,1,normal,1.0,0.566,5.1,0.61,0.54,MONITOR
D033,2025-01-01,0,normal,1.0,0.231,6.1,0.02,0.19,MONITOR
D033,2025-02-01,0,normal,1.0,0.231,6.1,0.02,0.19,MONITOR
D033,2025-03-01,1,normal,1.0,0.231,6.1,0.02,0.19,MONITOR
D034,2025-01-01,0,normal,1.0,0.318,5.3,0.13,0.47,MONITOR
D034,2025-02-01,1,normal,1.0,0.318,5.3,0.13,0.47,MONITOR
