Device_ID,Timestamp,Temp_C,Humidity_pct,Temp_breach_flag,Temp_consec_count,Humidity_breach_flag,Distance_from_route_m,Distance_breach_flag,Distance_consec_count,Accel_x_g,Accel_y_g,Accel_z_g,Accel_mag_g,Shock_flag,Tamper_switch_flag,Anomaly_Label,Anomaly_Type,CVSS,EPSS,DVD,Lat,Lon,aux_sensor_1,aux_sensor_2,aux_sensor_3,aux_sensor_4,aux_sensor_5,aux_sensor_6,aux_sensor_7,aux_sensor_8,aux_sensor_9,aux_sensor_10,aux_sensor_11,aux_sensor_12,aux_sensor_13,aux_sensor_14,aux_sensor_15,aux_sensor_16,aux_sensor_17,aux_sensor_18,aux_sensor_19,aux_sensor_20,aux_sensor_21,aux_sensor_22,aux_sensor_23,aux_sensor_24,aux_sensor_25,aux_sensor_26,aux_sensor_27,aux_sensor_28,aux_sensor_29,aux_sensor_30,aux_sensor_31,aux_sensor_32,aux_sensor_33,aux_sensor_34,aux_sensor_35,aux_sensor_36,aux_sensor_37
D001,2025-08-03 21:49:00,4.62,37.8,0,0,0,28.57,0,0,-0.029,0.077,0.943,0.10009495491781793,0,0,0,None,4.93,0.0825,16,12.97188,77.593614,-0.2491,0.7322,0.5972,-0.2165,-0.9378,0.8647,2.6505,0.1553,0.1901,-1.329,0.5665,0.5455,1.5319,-0.565,-1.6166,-0.4419,-1.0977,0.0127,1.6977,0.6366,0.6151,0.7569,-0.39,-1.1777,-0.1286,-0.0885,1.7274,-1.2037,0.2811,0.1023,-0.0382,0.4146,-0.0849,-1.4084,-1.8434,0.2367,-0.8483
D001,2025-08-03 21:54:00,5.9,37.04,0,0,0,21.88,0,0,-0.201,-0.255,1.166,0.36466697135880016,0,0,0,None,4.95,0.0756,16,12.971816,77.593523,-1.3599,-1.0011,0.7295,0.8011,0.3557,-0.2844,0.2672,-0.1987,0.5014,-0.5876,-0.4367,1.7798,0.9331,0.4328,-0.12,0.4556,0.2778,0.4613,1.6279,-1.6985,0.5918,1.1266,-1.2634,-1.1802,0.6905,-0.5825,2.1274,0.582,-0.6087,0.3322,2.2529,-0.889,0.7738,0.4442,-2.8474,0.6989,0.992
D001,2025-08-03 21:58:00,4.79,43.44,0,0,0,22.43,0,0,-0.179,-0.322,0.969,0.36971069770835685,0,0,0,None,4.87,0.0573,15,12.968738,77.596547,0.7967,-1.1347,-1.0249,1.7269,-0.1522,-0.3574,1.3171,-0.0164,-0.4022,0.8628,-1.6996,1.5228,0.7928,-0.4253,0.594,-0.1701,0.3259,0.0392,0.197,-1.0621,0.3027,0.5147,0.3382,1.1519,1.0393,-1.0704,1.109,-1.9914,0.1663,-0.3081,-0.6907,-0.6486,-2.6303,-1.4677,-0.6152,0.799,0.8935
D001,2025-08-03 22:03:00,4.74,51.84,0,0,0,17.08,0,0,-0.373,0.222,1.15,0.4592526537756749,0,0,0,None,4.69,0.0328,17,12.969889,77.594922,-1.9621,-1.3913,-2.7066,-1.1825,0.0252,1.2153,0.1004,0.5012,0.5653,-1.5381,0.4205,0.2839,1.7528,-1.0816,0.1839,0.7238,-0.1694,-0.4558,-0.7158,-2.0773,0.3298,0.3799,0.96,1.0091,1.9531,-0.3931,-2.094,0.2656,0.4758,-0.9087,-1.2293,2.251,-0.3786,0.8104,-0.5724,-0.9786,0.8009
D001,2025-08-03 22:07:00,5.03,50.08,0,0,0,4.42,0,0,-0.19,-0.177,0.841,0.3044831686645421,0,0,0,None,4.83,0.0308,15,12.969303,77.59488,1.494,1.0432,0.7358,-2.271,-0.0912,2.5683,-2.0594,-0.7896,1.1653,-1.5898,0.942,0.3505,0.868,1.2891,0.4073,1.3026,-0.1955,-0.6722,0.2388,0.0092,1.0143,-0.2521,0.0927,-0.3657,-0.6413,0.1729,0.6484,-1.8716,2.8085,-0.2427,0.2195,1.1168,-1.2172,-1.001,-0.549,-1.0451,-0.1847
D001,2025-08-03 22:11:00,4.89,37.42,0,0,0,1.86,0,0,0.29,-0.089,0.629,0.479230633411513,0,0,0,None,4.87,0.0327,15,12.972937,77.596934,-0.3456,0.6547,-0.9077,1.4391,0.6442,-0.2711,1.2045,0.5888,1.347,-0.2607,-0.0256,-0.5067,-2.405,-0.1567,-1.3661,1.089,-0.0122,-0.736,0.1028,-0.6264,-0.2601,0.8977,1.1742,-1.5832,2.2226,0.9892,0.1452,-1.3128,-0.5457,0.8468,0.5199,-1.6338,-0.3769,-0.0818,0.5415,-0.5898,0.376
D001,2025-08-03 22:16:00,3.82,41.91,0,0,0,24.85,0,0,0.269,-0.162,0.935,0.32067117113953353,0,0,0,None,4.97,0.0953,15,12.971175,77.595084,-0.8108,0.3976,-1.3402,-0.3157,-0.7513,0.8522,-1.0671,-0.1461,1.2718,-2.0285,-0.6547,-1.9076,-0.3231,1.1436,0.8537,-0.2026,0.1516,-0.0834,0.9828,-1.0487,0.7849,-0.0627,0.6514,-0.9165,-0.21,1.9821,1.0363,0.5307,-0.3472,0.1389,1.7508,1.2902,0.5062,-0.3858,1.0965,-0.4338,0.2126
D001,2025-08-03 22:20:00,4.91,34.82,0,0,0,0.21,0,0,-0.132,0.281,0.898,0.3267858626073044,0,0,0,None,5.07,0.0442,15,12.973377,77.594613,-0.2352,-0.7308,0.4358,-1.5209,-0.631,-0.0814,2.1165,-0.0997,-0.0063,0.0182,-0.407,1.0469,0.587,-1.5311,-0.2726,-0.0808,1.3904,-1.0812,-1.1311,0.6117,0.093,1.4774,0.662,-0.665,-0.0455,0.7502,1.084,-0.8181,-1.2515,1.0082,1.7471,1.3116,0.3699,2.1421,2.4509,0.0049,0.681
D001,2025-08-03 22:25:00,4.36,41.94,0,0,0,5.82,0,0,0.217,0.139,1.004,0.2577324193810317,0,0,0,None,4.99,0.0418,15,12.971867,77.596104,0.8846,-1.4783,-1.339,0.8309,-1.3737,1.0014,-0.1939,-1.0881,0.486,0.2733,0.9564,-0.2892,0.3539,0.9245,0.5006,0.451,0.7016,0.6903,0.493,-1.3966,-1.349,0.6671,0.2768,-0.8575,0.261,-1.2307,-1.7871,0.6608,0.4182,0.9944,1.3612,0.4075,-2.2826,-1.7899,-1.5924,-1.088,0.5652
D001,2025-08-03 22:30:00,4.52,21.79,0,0,0,17.55,0,0,0.593,0.044,1.383,0.7073005019084887,0,0,0,None,5.04,0.0793,17,12.972111,77.592865,-1.1035,-1.0399,0.7549,-1.0014,0.4416,-1.6483,1.3499,-0.4741,1.2441,0.9331,0.6369,1.1131,0.5593,0.4962,0.1402,-0.1428,-0.4918,0.7291,-0.5214,-0.544,-1.8536,-0.5492,-0.4421,-2.5017,0.5973,0.6627,1.6446,1.3943,0.7751,-3.035,-0.6994,-0.7241,-0.1658,-1.6128,-0.405,-0.618,-0.5914
